1,NA,NA,5,1,NA,1,NA,3,NA,5,NA,3,NA,4,NA,NA,NA
1,4,2,5,NA,NA,NA,2,NA,NA,NA,4,NA,1,1,NA,NA,NA
1,2,2,4,NA,NA,1,NA,2,NA,NA,NA,NA,3,NA,NA,1,NA
1,NA,1,3,NA,NA,4,NA,3,3,NA,NA,NA,2,NA,1,NA,NA
1,3,NA,1,2,NA,1,5,NA,NA,NA,NA,NA,1,NA,NA,2,NA
1,NA,NA,4,NA,2,NA,NA,NA,NA,2,2,3,NA,NA,2,NA,880
1,2,NA,NA,NA,NA,NA,2,2,2,NA,2,4,NA,NA,1,NA,NA
1,NA,NA,NA,NA,NA,NA,3,1,1,2,NA,NA,4,NA,2,NA,715
1,3,1,1,2,NA,NA,NA,2,NA,5,NA,NA,4,NA,NA,NA,NA
1,NA,NA,NA,NA,1,NA,2,2,5,3,NA,NA,1,NA,2,NA,NA
1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,NA,2,2,2,NA
1,NA,NA,5,NA,2,NA,NA,1,NA,NA,2,NA,2,NA,NA,1,1295
1,3,1,3,NA,2,NA,4,NA,NA,5,3,NA,NA,NA,NA,NA,NA
1,NA,NA,2,NA,NA,4,3,NA,NA,NA,NA,1,NA,1,1,1,NA
1,NA,1,NA,1,2,NA,5,NA,NA,4,2,2,NA,NA,NA,NA,NA
1,4,NA,NA,NA,2,NA,5,NA,NA,5,3,NA,3,1,NA,NA,NA
1,1,1,NA,2,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,885
1,NA,2,NA,NA,2,NA,5,NA,5,3,NA,NA,NA,NA,1,NA,480
1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,4,2,5,NA,2,NA
1,3,NA,NA,NA,NA,NA,5,NA,2,2,NA,1,NA,5,NA,NA,1997
1,1,NA,2,NA,1,NA,NA,1,NA,2,NA,3,NA,NA,NA,NA,1707
1,NA,NA,3,NA,2,NA,3,NA,NA,NA,NA,4,1,NA,2,2,NA
1,2,2,NA,2,NA,5,NA,NA,NA,NA,NA,NA,NA,5,2,NA,1666
1,NA,1,NA,2,NA,4,NA,NA,NA,1,NA,3,NA,NA,1,2,NA
1,4,NA,NA,NA,NA,1,2,2,5,NA,NA,NA,NA,3,NA,NA,1047
1,NA,NA,NA,1,NA,4,3,3,NA,NA,NA,NA,NA,4,2,NA,1839
1,4,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,1,1,1343
1,NA,2,NA,1,NA,NA,5,NA,2,1,1,NA,2,NA,NA,NA,NA
1,4,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,5,2,1,NA
1,4,NA,NA,2,NA,NA,NA,2,1,3,5,NA,1,NA,NA,NA,NA
1,NA,2,5,1,NA,NA,NA,2,NA,NA,NA,NA,3,NA,1,NA,559
1,NA,1,NA,NA,1,2,NA,2,1,NA,NA,NA,NA,NA,2,1,NA
1,NA,NA,NA,NA,2,NA,NA,NA,5,5,4,NA,5,1,NA,NA,769
1,NA,NA,NA,NA,2,NA,NA,3,NA,3,2,NA,NA,5,1,NA,874
1,2,NA,NA,NA,2,NA,NA,2,3,NA,NA,2,NA,1,NA,1,NA
1,NA,2,NA,NA,2,NA,1,NA,NA,5,NA,1,NA,2,NA,2,NA
1,NA,NA,NA,2,NA,NA,3,NA,3,NA,3,NA,NA,2,1,1,NA
1,NA,1,NA,NA,2,3,2,3,NA,NA,NA,2,NA,NA,2,NA,NA
1,NA,NA,2,NA,NA,1,5,1,1,NA,NA,NA,3,4,NA,NA,NA
1,NA,NA,NA,2,NA,3,3,NA,NA,NA,NA,3,NA,2,1,2,NA
1,NA,2,1,NA,NA,NA,NA,2,2,NA,NA,4,4,NA,1,NA,NA
1,NA,NA,5,2,NA,NA,5,NA,5,NA,NA,NA,2,3,NA,1,NA
1,NA,1,NA,NA,NA,5,NA,3,2,NA,NA,4,NA,2,NA,NA,1904
1,NA,NA,NA,1,1,1,NA,NA,2,NA,NA,3,NA,NA,2,NA,1695
1,NA,1,NA,NA,2,1,3,NA,4,NA,NA,NA,NA,3,2,NA,NA
1,2,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,3,1,1,NA
1,NA,2,NA,NA,NA,4,NA,1,NA,NA,3,2,NA,NA,2,1,NA
1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,3,4,3,NA,NA,2,1764
1,NA,NA,NA,NA,NA,2,NA,NA,3,2,3,1,NA,NA,1,NA,1314
1,NA,NA,1,NA,1,NA,3,NA,NA,NA,4,NA,4,5,1,NA,NA
1,NA,1,NA,NA,NA,2,5,NA,1,NA,1,NA,NA,1,1,NA,NA
1,NA,NA,1,NA,NA,NA,1,3,NA,2,NA,NA,4,NA,NA,1,1768
1,2,NA,NA,2,2,NA,NA,NA,NA,1,NA,4,2,NA,1,NA,NA
1,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA
2,NA,NA,NA,NA,1,NA,NA,1,NA,2,5,NA,5,3,NA,NA,993
